TIME,2019-Q4,2022-Q4,Cumulative Growth Rate 2022 Q4 - 2019 Q4 G EXP
GEO (Labels),,,
European Union - 27 countries (from 2020),658199.7,699501.1,6.27
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",565464.7,604028.7,6.82
Euro area Ð 20 countries (from 2023),568325.5,607261.5,6.85
Euro area - 19 countries  (2015-2022),565464.7,604028.7,6.82
Euro area - 12 countries (2001-2006),554659.9,592766.2,6.87
Belgium,23286.7,25526.5,9.62
Bulgaria,3712.1,4365.4,17.60
Czechia,227767.5,243349.7,6.84
Denmark,133898.1,132820.7,-0.80
Germany,154387.6,164754.3,6.71
Estonia,902.4,938.1,3.96
Ireland,9800.6,12228.7,24.78
Greece,10302.1,10701.1,3.87
Spain,56447.2,61659.8,9.23
France,136036.7,143359.9,5.38
Croatia,2752.8,3116.2,13.20
Italy,79076.5,82496.8,4.33
Cyprus,973.8,1179.9,21.16
Latvia,1043.3,1157.2,10.92
Lithuania,1412.6,1437.9,1.79
Luxembourg,2227.1,2558.5,14.88
Hungary,1827123.3,1889503.4,3.41
Malta,578,680.2,17.68
Netherlands,45055.9,48461.8,7.56
Austria,16137.6,17458.4,8.18
Poland,85875.2,88637.7,3.22
Portugal,8831.3,9308.5,5.40
Romania,26272.5,25964.6,-1.17
Slovenia,1956.9,2135.9,9.15
Slovakia,3920.9,3807.7,-2.89
Finland,12003.2,12706.5,5.86
Sweden,251183.7,258661.7,2.98
Iceland,:,:,#VALUE!
Norway,160363.4,168345.2,4.98
Switzerland,19258.8,20161.3,4.69
Bosnia and Herzegovina,:,:,#VALUE!
Montenegro,202.5,198.7,-1.88
North Macedonia,21899.5,22524.9,2.86
Albania,53508.1,60767.2,13.57
Serbia,186097.7,196587.1,5.64
TŸrkiye,68146.7,77024.7,13.03
Kosovo*,:,:,#VALUE!
